Date,Zillow_HVI,Inventory
2018-01-31,226599.0,1427267.0
2018-02-28,227967.0,1384687.0
2018-03-31,229298.0,1441834.0
2018-04-30,230614.0,1528988.0
2018-05-31,231830.0,1630787.0
2018-06-30,232941.0,1704555.0
2018-07-31,233973.0,1755815.0
2018-08-31,234949.0,1780531.0
2018-09-30,235924.0,1769498.0
2018-10-31,236888.0,1749131.0
2018-11-30,237861.0,1692292.0
2018-12-31,238852.0,1595462.0
2019-01-31,239870.0,1507466.0
2019-02-28,240810.0,1458990.0
2019-03-31,241618.0,1505544.0
2019-04-30,242316.0,1571993.0
2019-05-31,242961.0,1664268.0
2019-06-30,243561.0,1735929.0
2019-07-31,244112.0,1780551.0
2019-08-31,244670.0,1790997.0
2019-09-30,245303.0,1771867.0
2019-10-31,246015.0,1741473.0
2019-11-30,246750.0,1667543.0
2019-12-31,247576.0,1551031.0
2020-01-31,248559.0,1447133.0
2020-02-29,249702.0,1396888.0
2020-03-31,250986.0,1422225.0
2020-04-30,252205.0,1409315.0
2020-05-31,253052.0,1430264.0
2020-06-30,253757.0,1428773.0
2020-07-31,254855.0,1452697.0
2020-08-31,256769.0,1422414.0
2020-09-30,259275.0,1376698.0
2020-10-31,262091.0,1335612.0
2020-11-30,265113.0,1257201.0
2020-12-31,268154.0,1147552.0
2021-01-31,271383.0,1053583.0
2021-02-28,274736.0,974067.0
2021-03-31,278389.0,962868.0
2021-04-30,282245.0,945177.0
2021-05-31,286948.0,980794.0
2021-06-30,292471.0,1010774.0
2021-07-31,298349.0,1055891.0
2021-08-31,303739.0,1100361.0
2021-09-30,308359.0,1117194.0
2021-10-31,312452.0,1105389.0
2021-11-30,316333.0,1039128.0
2021-12-31,320662.0,923352.0
